id,priority,title,source,domain,score,recommended_form,main_risk,related_cp_ids,related_pend_ids,publish_status,created_in,updated_in,status,tags,notes
SB-001,高,哥德尔不完备性,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-002,高,叙事为什么能改变人的理解,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-003,高,现代艺术为何成立,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-004,高,人如何改变习惯,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-005,高,制度为何会锁定,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-006,高,金融危机为何发生,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-007,高,社会信任如何形成,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-008,高,AI 泛化能力从何而来,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-009,高,大模型涌现是否真实,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-010,高,失败类型: L2 推论误写成 L5,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,公开前仍需检查 pending 条件和误读风险,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-011,中,文学作品为什么能跨时代有效,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-012,中,学习迁移如何发生,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-013,中,集体行动如何可能,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-014,中,人为什么会产生偏见,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-015,中,动机如何形成,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-016,中,经济增长从何而来,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-017,中,市场为何会失灵,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-018,中,AI 对齐为何困难,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-019,中,失败类型: 同构误判,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-020,中,失败类型: 边界选错,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,通常需要更清楚的材料、边界或表达设计,[],[],draft,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-021,暂缓,四种基本力统一,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-022,暂缓,量子引力,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-023,暂缓,暗物质 / 暗能量本质,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-024,暂缓,黎曼猜想,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-025,暂缓,P vs NP,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-026,暂缓,罗马帝国为何衰亡,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-027,暂缓,工业革命为什么首先发生在英国,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-028,暂缓,中国王朝周期为何反复出现,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-029,暂缓,为什么教育会加剧或缓解不平等,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
SB-030,暂缓,艺术作品的意义如何生成,outputs/getbrain/storytelling-case-backlog-draft-20260707.md,,,,当前公开风险较高，容易被误读为物理结论、数学证明、历史定律、教育建议或审美定理,[],[],hold,v0.2,,active,[],P1-3 初版：related_cp_ids / related_pend_ids 待后续交叉引用补齐。
