id,name,description,symptom,correction,related_risk_rules,related_pend_ids,created_in,updated_in,status,tags,notes
FAIL-001,材料错误,输入材料、事实、引用或案例基础错误，导致后续结构判断失效。,材料来源不清、事实错误、引用缺失。,补充来源、修正材料；无法修正时暂停判断。,"[""RISK-005""]",[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-002,边界选错,系统边界划定错误，把不属于同一系统的对象放入同一判断框架。,对象范围含混，分析对象前后不一致。,重设对象、边界和外部变量。,"[""RISK-006""]",[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-003,尺度错配,把不同时间、空间、层级或组织尺度上的机制直接类比。,宏观结论套用到微观个体，或短期机制写成长周期规律。,明确尺度，拆分层级，限制结论适用范围。,[],[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-004,函数过度泛化,把局部函数或局部案例中的结构关系写成普遍函数。,函数解释范围不断扩大，缺少反例约束。,收窄函数适用域，增加反例和 pending 标记。,[],[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-005,同构误判,把表面相似的结构误判为底层机制相同。,只列相似点，不列差异和机制证据。,补充差异、竞争解释和证据制度。,"[""RISK-003""]",[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-006,证据等级不足,证据只支持观察或推论，却被写成证明、实证结论或专业定论。,L1/L2 结论被写成 L4/L5。,降级 claim level，标注 pending。,[],[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-007,AI 过度解释,AI 将框架、案例或作者动机过度拔高，生成万能论、野心论或终极理论叙事。,出现“大一统”“解释一切”“野心勃勃”等宣传式表述。,改写为好奇心驱动的分析工具，补充边界说明。,"[""RISK-007""]",[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-008,L2 推论误写成 L5 结论,把结构推论直接写成外部验证完成的结论。,缺少证明或实证，却使用确定性结论。,改为结构性假说或 pending。,"[""RISK-001""]",[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-009,学科证据制度误配,用一个领域的证据标准替代另一个领域的证据标准。,用类比替代数学证明、实验、史料、临床或法律证据。,切换到对应领域证据制度。,"[""RISK-002"", ""RISK-004""]",[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-010,观察者位置错误,忽略分析者、材料生产者或系统参与者的位置差异。,把局内经验当成局外规律，或把局外模型强套局内行动。,标注观察者位置和信息边界。,[],[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-011,把局部机制误写成全局规律,将局部成立的机制扩展成全系统或跨系统规律。,以单点案例概括整体。,限制适用域，补充反例和竞争机制。,"[""RISK-008""]",[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
FAIL-012,把历史叙事误写成因果定律,把叙事连贯性误认为因果必然性。,故事讲通了，但证据链和反事实不足。,区分叙事解释、因果推断和历史证据。,[],[],v0.2,,active,[],P1-4 初版：基于 v0.2 失败类型清单结构化生成。
