id,title,current_path,current_status,formal_layer,source_kind,object_type,provenance_status,first_known_date,first_known_file,first_known_commit_or_pr,source_note_paths,source_case_ids,intermediate_reports,authoring_agent_or_source,original_natural_language_claim,original_expression,later_rewrites,conflicts,missing_sources,audit_priority,type_issue,counterexample_flag,recommend_non_function,notes
BC-20260709-001,《系统之美》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,"系统基模中的""成长上限""基模与点火框架M1增强回路的同构性。当增强回路推动系统增长，同时调节回路在某个阈值启动限制增长，形成门控面极小点。",,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-002,《第五项修炼》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,学习型组织的五项修炼与点火框架L3锁定强度函数的映射。个人修炼→团队学习→系统思考的层级演化，对应ε_eff的三阶段提升。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-003,《枪炮、病菌与钢铁》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,地理决定论与点火框架P_meta元协议的碰撞。地理环境作为初始条件（V₁延续性协议），通过资源分布影响技术发展路径，验证了元协议组合对文明演化的决定性作用。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-004,《国家为什么会失败》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,包容性制度vs汲取性制度与退出权函数的映射。包容性制度提供真实退出权（P_exit高），汲取性制度压缩退出权（P_exit低），形成系统演化路径的根本差异。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-005,《创新者的窘境》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,破坏性创新与点火框架门控面演化的同构性。大公司受旧维度拖累（1/ln为负），边缘玩家无旧维度负担，验证了创新在边缘的拖累效应。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-006,《黑天鹅》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,极端事件与点火框架G_δ哥德尔不完备性判定的映射。系统内部无法预测极端事件，必须跳到元层面（元协议）处理不确定性。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-007,《反脆弱》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,从混乱中获益与点火框架M1增强回路的同构性。适度压力触发增强回路，系统从压力中恢复并增强，验证了乘法最优生存策略。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-008,《思考，快与慢》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,系统1vs系统2与点火框架门控函数演化的映射。系统1（直觉）→系统2（理性）的认知升级，对应δ→1/ln→exp[-ln²]的三阶段演化。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-009,《影响力》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,六大影响力原则与点火框架P_meta元协议的映射。互惠、承诺一致、社会认同等原则作为元协议实例，影响决策门控面。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-010,《人类简史》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,认知革命、农业革命、科学革命与点火框架元协议演化的同构性。每次革命都是元协议组合的跃迁，推动系统进入新的演化路径。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-011,《未来简史》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,数据主义与点火框架Φ元统一律的碰撞。万物数据化→Φ从正值趋向零的暂态，验证了宇宙是Φ加速衰减的终极案例。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-012,《文明的冲突》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,文明断层线与点火框架封闭边界协议（S₁）的映射。文明边界压缩退出权，形成自我强化路径依赖，导致冲突不可避免。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-013,《乌合之众》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,群体心理与点火框架H遮蔽函数的映射。群体中个体ε_eff下降，遮蔽增强，形成认知退相干，验证了系统性钝化机制。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-014,《娱乐至死》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,媒介环境与点火框架门控面压缩的同构性。娱乐化媒介压缩认知维度，降低ε_eff，验证了认知引力波的传播机制。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-015,《技术与文明》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,技术决定论与点火框架元协议组合的映射。技术作为元协议实例，重塑社会结构，验证了技术与社会演化的同构性。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-016,《复杂》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,复杂系统涌现与点火框架I_iso同构判定的映射。微观个体交互→宏观模式涌现，验证了跨系统同构性的数学结构。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-017,《有限与无限的游戏》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,有限游戏vs无限游戏与点火框架元协议组合的碰撞。有限游戏追求延续性（V₁），无限游戏追求创新性（V₃），验证了元协议价值取决于组合搭配。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-018,《贫穷的本质》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,贫困陷阱与点火框架M1增强回路的负向同构。贫困形成负向增强回路，需要外部扰动打破锁定，验证了代际逃逸死锁机制。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-019,《规模》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,规模法则与点火框架σ_opt=√e收敛验证。规模越大越好是伪命题，最优规模取决于目标元协议，验证了规模价值的哥德尔盲区。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
BC-20260709-020,《大图景》,docs/meta-protocols/book-validation-22-cases-20260709.md,candidate_only,CANDIDATE_OR_PENDING,candidate_only,NATURAL_LANGUAGE_CANDIDATE,SOURCE_NOT_FOUND,2026-07-11,book-validation-22-cases-20260709.md,c71188646d476623b3181013cf01625270f6f1be,,,docs/meta-protocols/book-validation-22-cases-20260709.md,governance_registry,自然主义世界观与点火框架G_δ哥德尔不完备性判定的碰撞。自然主义假设本身无法自证，必须跳到元层面（价值、信仰、存在）找答案。,,,,direct source artifact unresolved,MEDIUM,False,False,True,
