canonical_id,claim_class,assertion_type,mathematical_maturity,external_evidence_maturity,replication_status,final_disposition,source_anchor_count,failed_audits,claim_ceiling
CLAIM-A1,EMPIRICAL_OR_LITERATURE_CLAIM,EMPIRICAL,M1,E0,NO_REPLICATION_CLAIMED,RETAINED_AS_HEURISTIC,3,definition_audit;type_dimension_audit;evidence_audit,"Within the source-defined scope, I(t,L) 提议者意识 is adjudicated as PREDICATE: 提议者是否有意识，二值变量。不可推导，作为框架起点。. This is a model-internal controlled proposition, not an assertion of external mathematical, physical, or empirical truth."
CLAIM-A2,THEOREM_OR_MATHEMATICAL_CLAIM,MATHEMATICAL,M1,E0,NOT_APPLICABLE,RETAINED_AS_HEURISTIC,3,definition_audit;proof_audit;type_dimension_audit,"Within the source-defined scope, 提议者姿态的激进程度 is adjudicated as METRIC: 提议者姿态的激进程度，0为完全平等，1为完全压制。退化免疫D_immune = F_form × (1-ΔH_undetected)。. This is a model-internal controlled proposition, not an assertion of external mathematical, physical, or empirical truth."
CLAIM-A3,THEOREM_OR_MATHEMATICAL_CLAIM,MATHEMATICAL,M1,E0,NOT_APPLICABLE,RETAINED_AS_HEURISTIC,3,definition_audit;proof_audit;type_dimension_audit,"Within the source-defined scope, R(t,L,C) 应约者退出权 is adjudicated as RELATION: 应约者的退出权类型。不可推导，作为框架起点。. This is a model-internal controlled proposition, not an assertion of external mathematical, physical, or empirical truth."
CLAIM-A4,THEOREM_OR_MATHEMATICAL_CLAIM,MATHEMATICAL,M1,E0,NOT_APPLICABLE,RETAINED_AS_HEURISTIC,3,definition_audit;proof_audit;type_dimension_audit,"Within the source-defined scope, R_perceived(t,L,C) 应约者感知退出权 is adjudicated as MECHANISM_MODEL: 应约者感知到的退出权，是真实退出权经过感知函数过滤后的结果。相变四路径。. This is a model-internal controlled proposition, not an assertion of external mathematical, physical, or empirical truth."
CLAIM-A5,THEOREM_OR_MATHEMATICAL_CLAIM,MATHEMATICAL,M1,E0,NOT_APPLICABLE,RETAINED_AS_HEURISTIC,3,definition_audit;proof_audit;type_dimension_audit;evidence_audit,"Within the source-defined scope, 应约者退出的成本 is adjudicated as METRIC: 应约者退出的成本，八维度（经济/社会/身份/信息/时间/地理/生态/身体）连续值。n_lock = Σᵢ step(C_exit(i) - θ_C(i))。. This is a model-internal controlled proposition, not an assertion of external mathematical, physical, or empirical truth."
CLAIM-A6,THEOREM_OR_MATHEMATICAL_CLAIM,MATHEMATICAL,M1,E0,NOT_APPLICABLE,RETAINED_AS_HEURISTIC,3,definition_audit;proof_audit;type_dimension_audit,"Within the source-defined scope, H(t,L) 遮蔽函数(双源) is adjudicated as MECHANISM_MODEL: 遮蔽函数，双源：提议者主动遮蔽H_pro + 系统不兼容性Σ_compatibility。退化类型 = argmax(H_pro, Σ_compatibility)。. This is a model-internal controlled proposition, not an assertion of external mathematical, physical, or empirical truth."
CLAIM-A7,THEOREM_OR_MATHEMATICAL_CLAIM,MATHEMATICAL,M1,E0,NOT_APPLICABLE,RETAINED_AS_HEURISTIC,3,definition_audit;proof_audit;type_dimension_audit,"Within the source-defined scope, 退出权信号 is adjudicated as METRIC: 退出权信号，八维展开。S_sovereign = Σᵢ εᵢ，主权函数为各维度信号之和。. This is a model-internal controlled proposition, not an assertion of external mathematical, physical, or empirical truth."
CLAIM-A8,EMPIRICAL_OR_LITERATURE_CLAIM,EMPIRICAL,M1,E0,NO_REPLICATION_CLAIMED,RETAINED_AS_HEURISTIC,3,definition_audit;type_dimension_audit;evidence_audit,"Within the source-defined scope, dim(t,L) 决策维度 is adjudicated as PREDICATE: 决策维度，二值变量。不可推导，作为框架起点。. This is a model-internal controlled proposition, not an assertion of external mathematical, physical, or empirical truth."
CLAIM-A9,THEOREM_OR_MATHEMATICAL_CLAIM,MATHEMATICAL,M1,E0,NOT_APPLICABLE,RETAINED_AS_HEURISTIC,3,definition_audit;proof_audit;type_dimension_audit,"Within the source-defined scope, P_exit(t,L,C) 退出概率 is adjudicated as PROBABILISTIC_MODEL: 应约者退出概率，是退出权信号、退出成本、感知退出权的函数。. This is a model-internal controlled proposition, not an assertion of external mathematical, physical, or empirical truth."
CLAIM-BC-20260709-001,CROSS_DOMAIN_CORRESPONDENCE,INTERPRETIVE,M0,E0,NOT_APPLICABLE,RETAINED_AS_STRUCTURAL_METAPHOR,5,cross_domain_audit,"Analogy or structural metaphor only; no homomorphism, isomorphism or causal identity is established."
